census_tract,Measure,health_outcome_value,TotalPopulation,Geolocation,CategoryID,health_outcome_label
51710002700,Mammography use among women aged 50-74 years,85.3,2900,POINT (-76.29499413 36.87621432),PREVENT,MAMMOUSE
51710004500,Cholesterol screening among adults aged >=18 years,89,1374,POINT (-76.25055325 36.84960713),PREVENT,CHOLSCREEN
51710005000,Mammography use among women aged 50-74 years,85,3271,POINT (-76.28278864 36.83259999),PREVENT,MAMMOUSE
51710006606,Mammography use among women aged 50-74 years,81.6,4177,POINT (-76.22590948 36.90958277),PREVENT,MAMMOUSE
51710005100,Mammography use among women aged 50-74 years,85.4,4522,POINT (-76.25961471 36.8317244),PREVENT,MAMMOUSE
51710001500,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",48.3,1995,POINT (-76.28375154 36.91302891),PREVENT,COREM
51710002900,Current lack of health insurance among adults aged 18-64 years,13,3973,POINT (-76.28102761 36.87471555),PREVENT,ACCESS2
51710003800,Cholesterol screening among adults aged >=18 years,77.7,22065,POINT (-76.3066606 36.86906456),PREVENT,CHOLSCREEN
51710002100,Cholesterol screening among adults aged >=18 years,91.6,1414,POINT (-76.26825771 36.88921971),PREVENT,CHOLSCREEN
51710002900,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",38.4,3973,POINT (-76.28102761 36.87471555),PREVENT,COREW
51710003100,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",44.4,3116,POINT (-76.25701303 36.88196157),PREVENT,COREW
51710000800,Visits to doctor for routine checkup within the past year among adults aged >=18 years,75.9,2075,POINT (-76.26881805 36.93878702),PREVENT,CHECKUP
51710000201,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,73.6,2742,POINT (-76.23748996 36.94398512),PREVENT,BPMED
